参数组级别,组序号,组地址步长,变长ID,通信频率,参数值长度,MODBUS参数值类型,MODBUS地址,十六进制参数ID号,十进制参数ID号, 参数名称,"传输比例","单位",参数主界面显示使能,参数界面第一级分组,参数界面第二级分组,参数处理方法类型,权限,值范围选项,值下限,值上限,参数值枚举,,
0,0,0,0,0,2,2,1,0x0400,1024,目标温度,10,℃,4,1,1,2,0,0,/,/,/,,
0,0,0,0,0,1,2,3,0x0402,1026,机组运行模式,1,/,4,1,1,3,0,0,/,/,制冷.制冷.制热.井冷.自动,,
0,0,0,0,0,1,4,4,0x0403,1027,机组运行状态,1,/,4,1,1,7,0,0,/,/,机组待机.机组正在启动中.机组运行.机组正在停机.机组严重报警,,
0,0,0,0,0,1,4,5,0x0404,1028,系统状态,1,/,4,1,1,4,0,0,/,/,机组防冻.机组预热.机组有故障.系统可开机.系统可关机,,
0,0,0,0,0,1,4,6,0x0405,1029,机组中压机的总数,1,/,4,0,1,5,0,1,/,/,/,,
0,0,0,0,0,1,4,7,0x0406,1030,已运行压机数,1,/,4,1,1,5,0,1,/,/,/,,
0,0,0,0,0,1,6,8,0x0407,1031,未运行压机数,1,/,4,1,1,5,0,1,/,/,/,,
0,0,0,0,0,1,6,9,0x0408,1032,机组中RLAN地址,1,/,4,0,0,5,0,1,/,/,/,,
0,0,0,0,0,2,6,10,0x0409,1033,机组制冷下限,1,℃,4,0,0,2,0,1,-400,850,/,,
0,0,0,0,0,1,6,11,0x0800,2048,开机,1,/,1,0,1,6,0,0,/,/,/,,
0,0,0,0,0,2,6,12,0x0801,2049,关机,1,/,1,0,1,6,0,0,/,/,/,,
0,1,48,4,0,1,4,13,0x0802,2050,复位,1,/,1,0,1,6,0,1,/,/,/,,
0,1,48,4,0,1,4,14,0x0803,2051,设定模式,1,/,1,0,1,8,0,0,/,/,/,,
0,1,48,4,0,2,4,15,0x0804,2052,制冷设定温度,10,℃,1,1,0,2,0,2,1033,300,/,,
0,3,48,30,0,2,4,27,0x0309,777,低压,10,bar,3,1,0,2,0,/,/,/,/,,
0,1,96,21,0,1,2,47,0x0519,1305,DI19: 压机低压,1,/,3,2,0,1,0,/,/,/,/,,
0,1,96,21,0,1,2,48,0x0520,1312,DO1: 自定义,1,/,3,3,0,1,0,/,/,/,/,,
0,2,48,22,0,1,4,66,0x0538,1336,DO19: 运行指示,1,/,3,3,0,1,0,/,/,/,/,,
0,2,48,22,0,1,4,67,0x0201,513,外部报警,1,/,2,0,0,0,0,/,/,/,/,,
0,0,0,0,0,1,2,98,0x0221,545,压机电流过大,1,/,2,0,0,0,0,/,/,/,/,,
0,0,0,0,0,1,2,114,0x0231,561,压机出回水温差过大,1,/,2,0,0,0,0,/,/,/,/,,
0,0,0,0,0,1,2,115,0x0232,562,冷冻水流不足,1,/,2,0,0,0,0,/,/,/,/,,
0,0,0,0,0,1,2,116,0x0233,563,水源水流不足,1,/,2,0,0,0,0,/,/,/,/,,
0,0,0,0,0,1,2,117,0x0234,564,油压过高,1,/,2,0,0,0,0,/,/,/,/,,
0,0,0,0,0,2,2,129,0x0311,785,电箱温度,10,℃,3,4,0,2,0,/,/,/,/,,
0,0,0,0,0,2,2,130,0x0312,786,压机电流,10,A,3,1,0,2,0,/,/,/,/,,
0,0,0,0,0,2,2,131,0x0313,787,膨胀阀步数,1,步,3,1,0,2,0,/,/,/,/,,
0,0,0,0,0,2,2,132,0x0314,788,膨胀阀开度,1,%,3,1,0,2,0,/,/,/,/,,
0,0,0,0,0,2,2,133,0x0315,789,当前液位,10,cm,3,1,0,2,0,/,/,/,/,,
0,0,0,0,0,2,2,135,0x0317,791,副电膨开度,10,%,3,1,0,2,0,/,/,/,/,,
0,0,0,0,0,2,2,136,0x0318,792,副电膨吸气压力,10,bar,3,1,0,2,0,/,/,/,/,,
0,0,0,0,0,2,2,137,0x0319,793,电机功率,10,kW,3,1,0,2,0,/,/,/,/,,
0,0,0,0,0,2,2,138,0x0320,800,电机电压,10,V,3,1,0,2,0,/,/,/,/,,
0,0,0,0,0,2,2,139,0x0321,801,导叶开度,10,%,3,1,0,2,0,/,/,/,/,,
0,0,0,0,0,2,2,140,0x0322,802,电机转速,1,RPM,3,1,0,2,0,/,/,/,/,,
